"id","position_id","tax_src_id","tax_dest_id"
"l10n_co_fis_pos_tax_tem_com_aut_int_rteiva0.75%>","l10n_co_fis_pos_tem_internacional_com","l10n_co_tax_tem_rteiva0.75%>_com",""
"l10n_co_fis_pos_tax_tem_com_aut_int_rteiva2.5%>","l10n_co_fis_pos_tem_internacional_com","l10n_co_tax_tem_rteiva2.5%>_com",""
"l10n_co_fis_pos_tax_tem_com_aut_int_rteiva5%>","l10n_co_fis_pos_tem_internacional_com","l10n_co_tax_tem_rteiva5%>_com",""
"l10n_co_fis_pos_tax_tem_com_aut_int_rteiva2.4%>","l10n_co_fis_pos_tem_internacional_com","l10n_co_tax_tem_rteiva2.4%>_com",""
"l10n_co_fis_pos_tax_tem_com_aut_int_rteiva8%>","l10n_co_fis_pos_tem_internacional_com","l10n_co_tax_tem_rteiva8%>_com",""
"l10n_co_fis_pos_tax_tem_com_aut_int_rteiva16%>","l10n_co_fis_pos_tem_internacional_com","l10n_co_tax_tem_rteiva16%>_com",""
"l10n_co_fis_pos_tax_tem_com_aut_int_rteiva2.85%>","l10n_co_fis_pos_tem_internacional_com","l10n_co_tax_tem_rteiva2.85%>_com",""
"l10n_co_fis_pos_tax_tem_com_aut_int_rteiva9.5%>","l10n_co_fis_pos_tem_internacional_com","l10n_co_tax_tem_rteiva9.5%>_com",""
"l10n_co_fis_pos_tax_tem_com_aut_int_rteiva19%>","l10n_co_fis_pos_tem_internacional_com","l10n_co_tax_tem_rteiva19%>_com",""
"l10n_co_fis_pos_tax_tem_com_aut_int_rteiva0.75%<","l10n_co_fis_pos_tem_internacional_com","l10n_co_tax_tem_rteiva0.75%<_com",""
"l10n_co_fis_pos_tax_tem_com_aut_int_rteiva2.5%<","l10n_co_fis_pos_tem_internacional_com","l10n_co_tax_tem_rteiva2.5%<_com",""
"l10n_co_fis_pos_tax_tem_com_aut_int_rteiva5%<","l10n_co_fis_pos_tem_internacional_com","l10n_co_tax_tem_rteiva5%<_com",""
"l10n_co_fis_pos_tax_tem_com_aut_int_rteiva2.4%<","l10n_co_fis_pos_tem_internacional_com","l10n_co_tax_tem_rteiva2.4%<_com",""
"l10n_co_fis_pos_tax_tem_com_aut_int_rteiva8%<","l10n_co_fis_pos_tem_internacional_com","l10n_co_tax_tem_rteiva8%<_com",""
"l10n_co_fis_pos_tax_tem_com_aut_int_rteiva16%<","l10n_co_fis_pos_tem_internacional_com","l10n_co_tax_tem_rteiva16%<_com",""
"l10n_co_fis_pos_tax_tem_com_aut_int_rteiva2.85%<","l10n_co_fis_pos_tem_internacional_com","l10n_co_tax_tem_rteiva2.85%<_com",""
"l10n_co_fis_pos_tax_tem_com_aut_int_rteiva9.5%<","l10n_co_fis_pos_tem_internacional_com","l10n_co_tax_tem_rteiva9.5%<_com",""
"l10n_co_fis_pos_tax_tem_com_aut_int_rteiva19%<","l10n_co_fis_pos_tem_internacional_com","l10n_co_tax_tem_rteiva19%<_com",""
"l10n_co_fis_pos_tax_tem_com_aut_int_rtefte1%>","l10n_co_fis_pos_tem_internacional_com","l10n_co_tax_tem_rtefte1%>_com",""
"l10n_co_fis_pos_tax_tem_com_aut_int_rtefte1%<","l10n_co_fis_pos_tem_internacional_com","l10n_co_tax_tem_rtefte1%<_com",""
"l10n_co_fis_pos_tax_tem_com_aut_int_rtefte1.5%>","l10n_co_fis_pos_tem_internacional_com","l10n_co_tax_tem_rtefte1.5%>_com",""
"l10n_co_fis_pos_tax_tem_com_aut_int_rtefte1.5%>","l10n_co_fis_pos_tem_internacional_com","l10n_co_tax_tem_rtefte1.5%>_com",""
"l10n_co_fis_pos_tax_tem_com_aut_int_rtefte2%>","l10n_co_fis_pos_tem_internacional_com","l10n_co_tax_tem_rtefte2%>_com",""
"l10n_co_fis_pos_tax_tem_com_aut_int_rtefte2%<","l10n_co_fis_pos_tem_internacional_com","l10n_co_tax_tem_rtefte2%<_com",""
"l10n_co_fis_pos_tax_tem_com_aut_int_rtefte2.5%>","l10n_co_fis_pos_tem_internacional_com","l10n_co_tax_tem_rtefte2.5%>_com",""
"l10n_co_fis_pos_tax_tem_com_aut_int_rtefte2.5%<","l10n_co_fis_pos_tem_internacional_com","l10n_co_tax_tem_rtefte2.5%<_com",""
"l10n_co_fis_pos_tax_tem_com_aut_int_rtefte3.5%>","l10n_co_fis_pos_tem_internacional_com","l10n_co_tax_tem_rtefte3.5%>_com",""
"l10n_co_fis_pos_tax_tem_com_aut_int_rtefte3.5%<","l10n_co_fis_pos_tem_internacional_com","l10n_co_tax_tem_rtefte3.5%<_com",""
"l10n_co_fis_pos_tax_tem_com_aut_int_rtefte4%>","l10n_co_fis_pos_tem_internacional_com","l10n_co_tax_tem_rtefte4%>_com",""
"l10n_co_fis_pos_tax_tem_com_aut_int_rtefte4%<","l10n_co_fis_pos_tem_internacional_com","l10n_co_tax_tem_rtefte4%<_com",""
"l10n_co_fis_pos_tax_tem_com_aut_int_rtefte6%>","l10n_co_fis_pos_tem_internacional_com","l10n_co_tax_tem_rtefte6%>_com",""
"l10n_co_fis_pos_tax_tem_com_aut_int_rtefte6%<","l10n_co_fis_pos_tem_internacional_com","l10n_co_tax_tem_rtefte6%<_com",""
"l10n_co_fis_pos_tax_tem_com_aut_int_rtefte10%>","l10n_co_fis_pos_tem_internacional_com","l10n_co_tax_tem_rtefte10%>_com",""
"l10n_co_fis_pos_tax_tem_com_aut_int_rtefte10%<","l10n_co_fis_pos_tem_internacional_com","l10n_co_tax_tem_rtefte10%<_com",""
"l10n_co_fis_pos_tax_tem_com_aut_int_rtefte11%>","l10n_co_fis_pos_tem_internacional_com","l10n_co_tax_tem_rtefte11%>_com",""
"l10n_co_fis_pos_tax_tem_com_aut_int_rtefte11%<","l10n_co_fis_pos_tem_internacional_com","l10n_co_tax_tem_rtefte11%<_com",""
"l10n_co_fis_pos_tax_tem_com_aut_int_rtefte33%>","l10n_co_fis_pos_tem_internacional_com","l10n_co_tax_tem_rtefte33%>_com",""
"l10n_co_fis_pos_tax_tem_com_aut_int_rtefte33%>","l10n_co_fis_pos_tem_internacional_com","l10n_co_tax_tem_rtefte33%>_com",""
"l10n_co_fis_pos_tax_tem_com_cmu_cmu_rteiva0.75%>","l10n_co_fis_pos_tem_comun_com","l10n_co_tax_tem_rteiva0.75%>_com",""
"l10n_co_fis_pos_tax_tem_com_cmu_cmu_rteiva2.5%>","l10n_co_fis_pos_tem_comun_com","l10n_co_tax_tem_rteiva2.5%>_com",""
"l10n_co_fis_pos_tax_tem_com_cmu_cmu_rteiva5%>","l10n_co_fis_pos_tem_comun_com","l10n_co_tax_tem_rteiva5%>_com",""
"l10n_co_fis_pos_tax_tem_com_cmu_cmu_rteiva2.4%>","l10n_co_fis_pos_tem_comun_com","l10n_co_tax_tem_rteiva2.4%>_com",""
"l10n_co_fis_pos_tax_tem_com_cmu_cmu_rteiva8%>","l10n_co_fis_pos_tem_comun_com","l10n_co_tax_tem_rteiva8%>_com",""
"l10n_co_fis_pos_tax_tem_com_cmu_cmu_rteiva16%>","l10n_co_fis_pos_tem_comun_com","l10n_co_tax_tem_rteiva16%>_com",""
